time	V(1)	V(20)
Step Information: Amplitude=30m Frequency=1K  (Step: 1/36)
1.503120575236840e-03	-7.842358e-04	-2.669033e-02
1.503376833885392e-03	-8.486272e-04	-2.903703e-02
1.503660179053008e-03	-9.198223e-04	-3.120749e-02
1.503925844499847e-03	-9.865722e-04	-3.287939e-02
1.504236995230563e-03	-1.064747e-03	-3.445731e-02
1.504666732630390e-03	-1.172710e-03	-3.621579e-02
1.505616149041259e-03	-1.411199e-03	-3.925602e-02
1.511547737635331e-03	-2.899717e-03	-5.456834e-02
1.533032112635331e-03	-8.242402e-03	-1.082280e-01
1.556469612635331e-03	-1.389645e-02	-1.646516e-01
1.579907112635331e-03	-1.924969e-02	-2.179035e-01
1.603344612635331e-03	-2.418622e-02	-2.668686e-01
1.626782112635331e-03	-2.859920e-02	-3.104980e-01
1.648266487635331e-03	-3.210268e-02	-3.449996e-01
1.656078987635331e-03	-3.323489e-02	-3.561124e-01
1.677563362635331e-03	-3.592811e-02	-3.824332e-01
1.699047737635331e-03	-3.796762e-02	-4.021738e-01
1.720532112635331e-03	-3.931633e-02	-4.149756e-01
1.742016487635331e-03	-3.994969e-02	-4.206062e-01
1.763500862635331e-03	-3.985617e-02	-4.189634e-01
1.784985237635331e-03	-3.903748e-02	-4.100775e-01
1.806469612635331e-03	-3.750851e-02	-3.941107e-01
1.827953987635331e-03	-3.529709e-02	-3.713539e-01
1.849438362635331e-03	-3.244345e-02	-3.422219e-01
1.870922737635331e-03	-2.899950e-02	-3.072458e-01
1.894360237635331e-03	-2.464313e-02	-2.631777e-01
1.917797737635331e-03	-1.975331e-02	-2.138750e-01
1.941235237635331e-03	-1.443589e-02	-1.604170e-01
1.966625862635330e-03	-8.326499e-03	-9.920710e-02
1.993969612635327e-03	-1.515239e-03	-3.177701e-02
1.997875862635326e-03	-5.338381e-04	-2.251301e-02
1.999552867298828e-03	-1.123766e-04	-1.868044e-02
2.000000000000000e-03	-1.959435e-17	-1.768276e-02
Step Information: Amplitude=50m Frequency=1K  (Step: 3/36)
0.000000000000000e+00	0.000000e+00	-1.555982e-02
3.199999980552093e-07	1.005309e-04	-1.548478e-02
